Cislo;Firma;Slozka;ZDROJ_EC;CIL_STRATEGIE;Delta;Stav
1;EC;zaklad;69000;69000;0;OK
105;ES;premie;10000;10000;0;OK
105;ES;vedeni_lidi;10000;10000;0;OK
105;ES;zaklad;67000;67000;0;OK
11;EC;zaklad;67000;67000;0;OK
126;ES;jednatelska_odmena;1000;1000;0;OK
126;ES;os_ohodnoceni;7500;7500;0;OK
126;ES;premie;1000;1000;0;OK
126;ES;zaklad;30000;30000;0;OK
13;ES;zaklad;207380;207380;0;OK
14;EC;os_ohodnoceni;7500;7500;0;OK
14;EC;premie;8000;8000;0;OK
14;EC;vedeni_lidi;8000;8000;0;OK
14;EC;zaklad;61500;61500;0;OK
147;ES;jednatelska_odmena;1000;1000;0;OK
147;ES;os_ohodnoceni;7500;7500;0;OK
147;ES;premie;1000;1000;0;OK
147;ES;zaklad;34000;34000;0;OK
16;ES;os_ohodnoceni;12000;12000;0;OK
16;ES;zaklad;35500;35500;0;OK
2;EC;jednatelska_odmena;0;90800;90800;jen STRATEGIE
21;ES;os_ohodnoceni;7500;7500;0;OK
21;ES;zaklad;48500;48500;0;OK
24;EC;os_ohodnoceni;7500;7500;0;OK
24;EC;zaklad;39200;39200;0;OK
27;ES;zaklad;55000;55000;0;OK
29;ES;os_ohodnoceni;7500;7500;0;OK
29;ES;premie;5000;5000;0;OK
29;ES;vedeni_lidi;5000;5000;0;OK
29;ES;zaklad;60000;60000;0;OK
322;ES;os_ohodnoceni;7500;7500;0;OK
322;ES;zaklad;31000;31000;0;OK
327;ES;jednatelska_odmena;1000;1000;0;OK
327;ES;premie;1000;1000;0;OK
327;ES;zaklad;60900;60900;0;OK
346;ES;jednatelska_odmena;1000;1000;0;OK
346;ES;premie;1000;1000;0;OK
346;ES;zaklad;65500;65500;0;OK
349;ES;zaklad;44000;44000;0;OK
356;ES;os_ohodnoceni;11500;11500;0;OK
356;ES;zaklad;23200;23200;0;OK
361;EC;os_ohodnoceni;40300;40300;0;OK
361;EC;zaklad;20400;20400;0;OK
370;ES;jednatelska_odmena;1000;1000;0;OK
370;ES;premie;1000;1000;0;OK
370;ES;zaklad;65500;65500;0;OK
371;EC;jednatelska_odmena;1000;1000;0;OK
371;EC;premie;1000;1000;0;OK
371;EC;zaklad;60900;60900;0;OK
372;EC;jednatelska_odmena;1000;1000;0;OK
372;EC;premie;1000;1000;0;OK
372;EC;zaklad;60900;60900;0;OK
374;EC;zaklad;9000;9000;0;OK
381;ES;os_ohodnoceni;7500;7500;0;OK
